A1C,DFC,IPC,ITC,M1C,MFC,OFC,S1C,STC,V1C,VFC
7.050019,4.7286215,6.6586675,7.671281,5.033142,3.59402,3.882807,7.8165585,7.8278075,9.5923955,4.3664105
1.786598,2.823442,2.099399,2.487264,3.5583675,2.260245,1.4732225,2.244855,2.33799,5.4361865,4.287743
1.150686,0.9840585,0.826155,1.0686255,0.63323,0.8658095,1.121582,0.9615435,1.1879525,0.8415055,0.806767
1.2255015,1.2811175,1.458982,1.7257895,0.917988,1.4594705,0.649265,1.369211,0.608303,1.1757365,0.89486
41.2399605,44.4964435,45.8288615,39.5295665,37.1097475,40.6259515,48.2213725,35.813963,41.502616,30.2708785,45.546349
0.2779835,0.393473,0.431033,0.401071,0.44052,0.359294,0.4475595,0.389141,0.250872,0.51131,0.3679525
1.339838,1.7448675,1.0772735,1.0975505,1.404994,1.9868845,1.8980665,1.3292965,0.8541595,1.424751,1.2350725
5.7577325,4.002941,8.019273,7.236074,5.531225,5.794606,5.664052,5.9644045,4.512949,3.320436,4.042803
5.9580575,6.4321345,5.735307,5.8289185,5.6476055,5.6488925,6.9095705,5.7093235,5.741066,5.687168,6.145746
0.1100865,0.125231,0.106124,0.185904,0.3070935,0.21476,0.2150965,0.1917955,0.16133,0.1309205,0.2342705
0.039003,0.058664,0.030163,0.0590855,0.0431865,0.1014575,0.053441,0.0665605,0.066301,0.0434685,0.059896
3.4051605,3.276432,3.6045205,2.8562855,2.8605665,3.372577,3.3721565,3.5797195,2.7583055,3.165933,2.7381095
0.0302685,0,0.0656115,0,0.168505,0.031875,0.030057,0,0,0.101201,0.0763845
1.334357,1.4101365,1.3162585,1.589205,1.593953,1.5667325,1.3463695,1.6783125,1.4147445,1.8572745,1.528451
0.1552995,0.0074585,0.079669,0.119493,0.211908,0.0645875,0.0348905,0.302899,0.0886375,0.32052,0.1646435
5.267292,6.181768,5.584621,4.892618,5.885275,5.0596415,7.1500645,5.489509,6.3737675,4.97,6.0967025
0.6035635,0.66425,0.507136,0.5362405,0.6058695,0.66968,0.683125,0.5198205,0.6272905,0.786416,0.465049
1.9453635,1.899236,2.1104315,2.0097135,1.799273,1.589854,1.548487,2.042478,2.5365155,1.8661505,2.36374
4.644508,4.647826,4.5320615,4.055513,4.855607,5.00773,5.732374,4.596327,5.2179895,5.442953,4.757913
0,0.0155285,0.073398,0.070235,0.073044,0.02082,0.0398025,0.0532825,0.018228,0.044069,0.0501185
4.861661,4.6214675,4.1120155,5.053315,4.3615505,4.1948715,4.772938,4.329052,4.9820235,5.014818,4.746554
3.8690665,3.9079835,3.8672415,4.1774425,3.3396365,3.8640695,3.827047,4.5419315,4.4620725,5.9339445,4.065856
27.410625,28.1798635,27.4848995,24.8271585,25.974334,27.6652965,27.390735,24.5974795,27.069493,26.979523,29.519315
11.6191745,13.61712,12.170462,11.3299455,11.9162365,13.5947345,13.0564795,12.415891,10.71691,10.3032365,12.8864825
12.161211,11.979556,12.295033,11.956961,10.248701,8.9644915,10.3396435,12.330972,12.211333,12.8670755,10.870461
6.089713,6.698701,5.8902375,5.5275615,6.5730915,6.1052025,5.821102,6.1345445,5.6541575,6.844307,6.4315155
0.9876655,0.826331,1.2492225,0.8958225,0.9986125,0.875244,1.0232695,1.399238,0.7606645,0.7559665,0.8921175
1.867736,2.0281635,1.5513685,1.760606,2.545064,2.563415,1.9872675,2.131991,1.4132645,2.1248625,2.087046
2.2858935,1.943905,1.9871415,2.1190175,2.1331195,2.3297515,1.8483505,2.215299,2.2196655,1.7290315,2.1005695
0.005476,0.0069385,0,0,0.003221,0.010794,0.0034865,0,0.0025265,0,0
10.3538575,9.025243,9.88689,9.506023,10.9098335,9.680649,9.2336295,10.441544,8.814414,10.764774,9.7360575
7.7478835,8.2812255,7.9474405,6.9340345,6.763605,6.802679,7.8581875,6.9521215,6.2880185,7.1841895,7.329592
1.619835,1.0196305,1.6350995,1.3109325,1.029938,0.983375,1.2456055,1.6197315,1.629408,1.234334,1.048132
0.0188695,0.014815,0.040054,0.0163545,0.085332,0,0.079803,0.035953,0.0404575,0.020454,0.0541045
24.893644,29.918877,27.9034735,30.436998,22.4197765,28.1524775,24.4889665,23.402838,28.690376,22.373588,29.2656065
5.5599505,10.0362825,7.206191,5.6660985,7.8575605,10.1648775,7.6954125,8.6434655,4.910195,5.266372,10.8718945
47.828325,46.237249,46.224081,54.2584745,59.187473,47.7130565,46.2549265,48.4061875,70.5979695,57.5919925,52.9354015
0.17113,0.1957455,0.245844,0.130793,0.405555,0.2585895,0.1863535,0.4098795,0.2914145,0.3031145,0.194153
71.828286,74.509547,84.676804,73.3422415,62.3435215,76.2628155,71.128329,65.971132,57.2019205,52.431093,71.7588095
1.6827825,1.156042,1.1516725,1.0207185,1.478954,1.008888,1.043532,1.602851,1.569524,1.170782,0.912642
0.0855615,0.057968,0.0760595,0.1253805,0.077848,0.133223,0.0706175,0.0807035,0.0848535,0.066837,0.077198
15.124087,13.656706,15.087704,15.0676675,14.649724,15.6440505,11.9742285,14.6900425,9.9134775,14.384376,12.6806665
0,0,0,0,0,0,0,0,0,0,0
47.2538895,37.247236,43.3915905,51.6271585,31.3913205,35.497133,30.6401255,42.35991,38.918487,37.4107025,36.031001
5.3800695,7.5544555,6.6457165,6.428686,11.3157025,9.7200465,7.755498,8.595489,8.712381,8.237587,7.68427
19.154805,15.4989405,20.1645715,20.0286275,19.56464,15.7769405,14.218031,18.5510285,24.0347985,17.7610555,15.6421375
0,0,0,0,0,0,0,0,0,0,0
0.350452,0.359591,0.2723225,0.277175,0.3965625,0.3549725,0.289388,0.403305,0.398919,0.4279205,0.4987735
0.0192185,0.0131845,0.0124445,0.00532,0.0341325,0.0130675,0.0138155,0.0215895,0.02148,0.015296,0.0223545
1.151734,1.1360215,1.2403085,1.0614475,1.228498,1.1881635,1.1943735,1.1297575,1.167118,1.383833,1.08462
0.239859,0.546111,0.368392,0.2381315,0.301586,1.406354,1.330856,0.3920555,0.254786,1.117587,0.513431
1.13605,1.14662,1.013998,0.756639,1.7450175,1.984098,1.4410515,1.4322185,0.9176965,1.6048695,1.384478
7.744765,7.8732545,8.3528785,8.9818695,8.781679,7.6553235,7.3315525,8.392836,11.625536,10.78319,9.1358825
2.079217,2.009012,1.848033,2.1724095,3.735182,2.3129365,2.074102,2.6732195,2.341878,2.5052855,2.5627615
5.83669,6.498401,6.418542,6.3499515,7.0850665,7.350056,6.9580575,7.181948,8.134136,9.3077225,6.751082
2.592034,2.8162165,2.6206015,3.597999,2.805726,2.9177445,2.2898655,3.0180965,2.9961615,2.2721825,2.478646
3.9829255,6.183331,5.3599105,6.6411285,6.8304475,7.744524,5.382233,4.7286275,5.52413,3.1928915,6.3570085
31.0497345,33.4124075,34.309208,37.0506625,38.0158225,33.9754095,31.1327375,33.619881,43.6475975,32.9288535,34.0512255
7.189773,7.8530275,7.2341745,9.2333765,9.0725675,8.220758,6.9799695,9.2128095,10.6551145,9.292258,7.856376
3.464488,3.540314,3.5426725,3.880881,2.8901515,3.7622445,3.3277735,3.7774535,3.0217445,3.910433,3.2938975
